Meter,Date,0:00,0:30,1:00,1:30,2:00,2:30,3:00,3:30,4:00,4:30,5:00,5:30,6:00,6:30,7:00,7:30,8:00,8:30,9:00,9:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
EE00027,2019-01-01,9,8,8,10,4,10,10,8,6,5,4,9,9,6,7,10,4,6,4,5,7,10,7,7,10,9,10,8,8,5,5,9,7,10,10,7,4,8,10,10,5,10,8,10,8,6,7,8
EE00027,2019-01-02,7,9,4,4,8,7,9,9,6,5,6,9,4,10,9,6,4,7,6,4,6,10,8,10,6,7,8,8,6,10,7,7,10,10,9,5,7,6,7,7,4,6,4,7,6,7,10,7
EE00027,2019-01-03,7,8,6,7,8,5,4,6,4,4,10,4,4,7,7,4,9,6,10,5,10,9,10,7,5,7,6,9,8,9,5,6,9,4,4,5,8,10,4,6,7,5,7,8,4,7,8,10
EE00027,2019-01-04,7,9,10,7,8,10,8,7,10,7,4,4,4,9,6,8,10,4,6,10,8,8,6,5,9,6,8,10,4,10,5,8,4,9,5,4,5,4,4,10,8,10,5,8,5,4,4,10
EE00027,2019-01-05,7,8,6,10,6,5,4,5,9,4,7,8,7,7,5,10,5,4,7,5,5,6,8,7,5,6,4,7,8,4,9,4,9,10,8,7,7,7,10,7,9,10,10,7,9,5,9,4
EE00027,2019-01-06,7,6,5,10,8,6,5,7,7,6,10,7,8,7,9,4,6,5,7,9,10,4,10,10,5,7,4,5,7,4,8,10,10,9,8,8,4,8,4,9,10,10,5,8,8,4,4,6
EE00027,2019-01-07,4,10,5,6,10,9,10,5,4,10,4,4,8,10,7,5,6,8,6,7,7,10,9,7,10,6,7,9,7,8,5,8,4,8,4,6,10,8,8,10,9,10,9,8,7,9,7,8
EE00027,2019-01-08,7,8,5,6,9,8,7,8,6,6,8,10,9,6,8,4,5,7,5,6,8,6,7,10,9,8,4,5,5,9,5,6,6,6,8,4,6,6,7,5,10,7,8,4,8,9,9,7
EE00027,2019-01-09,6,9,9,5,4,8,6,10,8,4,5,9,4,8,10,6,9,5,5,10,9,8,8,7,4,5,5,4,7,9,7,6,5,9,9,8,6,4,5,8,10,9,7,8,5,5,6,5
EE00027,2019-01-10,4,4,4,10,9,5,8,7,7,7,5,9,8,6,8,6,4,4,5,9,5,8,7,6,10,5,9,7,6,5,7,5,10,5,5,4,10,4,10,7,10,7,4,8,6,6,6,6
EE00027,2019-01-11,4,7,4,6,7,9,6,9,10,4,5,6,5,5,5,6,9,7,9,5,5,5,8,4,10,4,10,5,10,9,9,9,9,7,6,8,9,10,4,4,8,7,7,7,7,8,10,9
EE00027,2019-01-12,6,5,5,10,8,7,7,8,5,10,10,5,9,6,9,7,10,9,9,5,8,8,6,8,7,5,4,8,5,8,9,6,6,8,9,5,4,10,9,5,7,9,4,8,10,8,7,4
EE00027,2019-01-13,6,4,5,5,9,9,4,10,7,10,10,7,8,5,7,8,9,8,10,8,9,7,9,8,10,4,8,4,7,5,6,5,9,7,9,9,10,6,6,5,8,5,4,6,9,6,7,7
EE00027,2019-01-14,8,8,8,9,8,8,8,10,5,9,7,6,4,8,9,9,5,7,9,4,8,5,6,4,7,6,4,10,5,7,5,5,6,6,5,5,8,8,6,7,7,9,4,8,6,4,9,5
EE00027,2019-01-15,4,5,8,5,7,4,9,10,5,7,7,5,6,8,5,8,4,10,10,4,9,9,6,5,10,10,8,8,5,6,5,7,10,8,8,7,5,7,8,5,8,7,6,4,6,8,7,8
EE00027,2019-01-16,4,6,5,5,4,5,8,9,10,9,8,9,5,6,9,6,7,6,10,8,4,6,7,8,5,10,10,7,8,7,10,10,5,10,5,8,7,10,7,8,4,7,4,6,7,6,5,5
EE00027,2019-01-17,6,5,4,5,5,8,10,4,8,5,10,7,10,9,5,4,8,9,7,9,7,5,4,5,7,10,5,9,9,5,4,7,4,5,9,7,5,5,6,10,5,4,9,4,8,10,8,9
EE00027,2019-01-18,9,4,7,7,6,9,7,5,9,4,8,7,7,6,4,8,5,8,4,9,8,8,5,7,7,4,5,7,9,4,8,9,6,5,9,4,8,9,4,5,7,10,10,10,4,6,4,5
EE00027,2019-01-19,6,6,7,5,8,7,4,10,4,8,6,9,6,10,4,5,8,9,5,8,5,5,9,7,7,5,4,10,6,10,10,8,5,10,4,6,4,8,6,7,4,4,6,10,4,8,10,4
EE00027,2019-01-20,8,9,9,6,7,5,9,10,10,4,5,8,6,6,4,4,7,10,8,4,5,7,4,5,6,8,7,5,8,8,5,5,9,10,10,10,10,8,5,9,4,9,4,7,8,8,10,4
EE00027,2019-01-21,5,7,6,10,7,4,10,8,9,7,6,6,6,8,7,6,9,8,4,8,6,4,7,5,7,4,6,6,5,8,9,10,5,4,7,5,8,9,9,9,4,6,7,7,8,5,9,9
EE00027,2019-01-22,10,6,5,7,10,8,4,9,5,8,8,7,10,4,4,10,4,10,5,9,10,8,5,6,6,5,10,5,5,6,10,9,6,4,8,10,5,8,9,6,7,4,5,4,10,4,10,7
